votes,answers,views,question,tags,user,user_reputation,time_asked
293,9,755k,I have a pandas DataFrame with 4 columns and I want to create a new DataFrame that only has three of the columns. This question is similar to: Extracting specific columns from a data frame but for ...,python pandas chained-assignment,SpeedCoder5,"6,695","asked Jan 8, 2016 at 17:34"
293,16,612k,"How to convert a string in the format ""%d/%m/%Y"" to timestamp? ""01/12/2011"" -> 1322697600",python datetime,Shankar Cabus,"8,434","asked Mar 9, 2012 at 16:47"
293,2,384k,I want to use a new feature of httpie. This feature is in the github repo https://github.com/jkbr/httpie but not in the release on the python package index https://pypi.python.org/pypi/httpie How ...,python pip,Colonel Panic,125k,"asked Mar 7, 2013 at 10:39"
293,3,237k,I'm using the Requests: HTTP for Humans library and I got this weird error and I don't know what is mean. No connection adapters were found for '192.168.1.61:8080/api/call' Anybody has an idea?,python python-2.7 python-requests,Azd325,"4,874","asked Feb 27, 2013 at 15:01"
293,12,686k,"How can I remove some specific elements from a numpy array? Say I have import numpy as np a = np.array([1,2,3,4,5,6,7,8,9]) I then want to remove 3,4,7 from a. All I know is the index of the values ...",python arrays numpy,Daniel Thaagaard Andreasen,"6,736","asked Jun 12, 2012 at 11:54"
293,3,176k,"Consider this - a base class A, class B inheriting from A, class C inheriting from B. What is a generic way to call a parent class initialiser in an initialiser? If this still sounds too vague, here's ...",python oop inheritance constructor,shylent,"9,926","asked May 24, 2009 at 15:54"
293,11,255k,Does anyone know why Python's list.append function is not called list.push given that there's already a list.pop that removes and returns the last element (that indexed at -1) and list.append semantic ...,python,Eddie Welker,"4,656","asked Oct 14, 2009 at 13:34"
292,20,793k,"How do I search and replace text in a file using Python 3? Here is my code: import os import sys import fileinput print (""Text to search for:"") textToSearch = input( ""> "" ) print (""Text to ...",python python-3.x string file replace,Shriram,"4,083","asked Jun 17, 2013 at 5:24"
292,20,867k,Does anybody know how to extract a column from a multi-dimensional array in Python?,python arrays multidimensional-array extraction,jaweria,"asked May 24, 2009 at 14:19","asked May 24, 2009 at 14:19"
292,8,359k,"public interface IInterface { void show(); } public class MyClass : IInterface { #region IInterface Members public void show() { Console.WriteLine(""Hello World!""); } ...",python oop,Pratik Deoghare,32.3k,"asked Jan 23, 2010 at 18:29"
292,23,627k,"I installed the latest version of Python (3.6.4 64-bit) and the latest version of PyCharm (2017.3.3 64-bit). Then I installed some modules in PyCharm (Numpy, Pandas, etc), but when I tried installing ...",python python-3.x python-2.7 tensorflow pip,Martin W,"3,628","asked Feb 10, 2018 at 12:35"
292,6,104k,"I'm used to the Java model where you can have one public class per file. Python doesn't have this restriction, and I'm wondering what's the best practice for organizing classes.",python class project-structure,brianegge,27.9k,"asked Sep 20, 2008 at 3:07"
291,13,200k,"I have this nested list: l = [['40', '20', '10', '30'], ['20', '20', '20', '20', '20', '30', '20'], ['30', '20', '30', '50', '10', '30', '20', '20', '20'], ['100', '100'], ['100', '100', '100', '100',...",python list nested list-comprehension,Boy Pasmo,"7,383","asked Aug 6, 2013 at 6:02"
291,8,394k,How can I skip the header row and start reading a file from line2?,python file-io,super9,27.4k,"asked Jan 25, 2011 at 17:25"
290,11,575k,"I have a data frame with one (string) column and I'd like to split it into two (string) columns, with one column header as 'fips' and the other 'row' My dataframe df looks like this: row 0 ...",python dataframe pandas,a k,"2,903","asked Feb 7, 2013 at 6:30"
290,14,260k,"How to do this in pandas: I have a function extract_text_features on a single text column, returning multiple output columns. Specifically, the function returns 6 values. The function works, however ...",python pandas merge multiple-columns return-type,smci,29k,"asked Apr 26, 2013 at 12:38"
290,32,760k,"I am trying to use pip behind a proxy at work. One of the answers from this post suggested using CNTLM. I installed and configured it per this other post, but running cntlm.exe -c cntlm.ini -I -M ...",python proxy pip,serverpunk,10k,"asked Jan 4, 2013 at 0:22"
290,18,177k,"Assume I have a program that uses argparse to process command line arguments/options. The following will print the 'help' message: ./myprogram -h or: ./myprogram --help But, if I run the script ...",python argparse,musashiXXX,"3,812","asked Oct 28, 2010 at 11:33"
290,14,329k,"I need to read a large file, line by line. Lets say that file has more than 5GB and I need to read each line, but obviously I do not want to use readlines() because it will create a very large list in ...",python python-2.x,Bruno Rocha - rochacbruno,"7,072","asked Jun 25, 2011 at 2:04"
290,14,317k,"I have some Python code that have inconsistent indentation. There is a lot of mixture of tabs and spaces to make the matter even worse, and even space indentation is not preserved. The code works as ...",python,Shay Erlichmen,31.4k,"asked Jun 21, 2009 at 18:10"
290,1,493k,"I have the following soup: <a href=""some_url"">next</a> <span class=""class"">...</span> From this I want to extract the href, ""some_url"" I can do ...",python tags beautifulsoup,dkgirl,"4,019","asked Apr 28, 2011 at 8:25"
290,4,278k,"I would like to create a copy of an object. I want the new object to possess all properties of the old object (values of the fields). But I want to have independent objects. So, if I change values of ...",python oop object copy,Roman,109k,"asked Jan 25, 2011 at 13:48"
289,16,636k,"I have a data set with huge number of features, so analysing the correlation matrix has become very difficult. I want to plot a correlation matrix which we get using dataframe.corr() function from ...",python pandas matplotlib data-visualization information-visualization,Gaurav Singh,10.8k,"asked Apr 3, 2015 at 12:57"
289,7,827k,I have the following DataFrame from a SQL query: (Pdb) pp total_rows ColumnID RespondentCount 0 -1 2 1 3030096843 1 2 3030096845 1 and I ...,python pandas string type-conversion,sontek,11.3k,"asked Feb 25, 2014 at 6:03"
289,9,351k,"I'm bit confused about how the global variables work. I have a large project, with around 50 files, and I need to define global variables for all those files. What I did was define them in my ...",python share globals,user1632861,"asked Oct 23, 2012 at 15:54","asked Oct 23, 2012 at 15:54"
289,15,565k,"I've been trying to round long float numbers like: 32.268907563; 32.268907563; 31.2396694215; 33.6206896552; ... With no success so far. I tried math.ceil(x), math.floor(x) (although that would round ...",python,vandernath,"3,205","asked Aug 4, 2015 at 19:51"
289,3,145k,What is the name of the method to override the [] operator (subscript notation) for a class in Python?,python operator-overloading,Sahas,"9,437","asked Dec 24, 2009 at 10:35"
288,27,294k,"I read data from a .csv file to a Pandas dataframe as below. For one of the columns, namely id, I want to specify the column type as int. The problem is the id series has missing/empty values. When I ...",python pandas na,Zhubarb,"9,518","asked Jan 22, 2014 at 15:51"
288,15,666k,"Here is my code: import imaplib from email.parser import HeaderParser conn = imaplib.IMAP4_SSL('imap.gmail.com') conn.login('example@gmail.com', 'password') conn.select() conn.search(None, 'ALL') ...",python python-3.x imaplib,user4530588,"asked Feb 18, 2015 at 12:20","asked Feb 18, 2015 at 12:20"
288,1,184k,"In Python, is it possible to have multiple except statements for one try statement? Such as : try: #something1 #something2 except ExceptionType1: #return xyz except ExceptionType2: #return abc",python syntax exception-handling,Eva611,"5,229","asked May 23, 2011 at 10:07"
288,23,189k,"Right now I have a central module in a framework that spawns multiple processes using the Python 2.6 multiprocessing module. Because it uses multiprocessing, there is module-level multiprocessing-...",python logging multiprocessing,cdleary,66.2k,"asked Mar 13, 2009 at 4:02"
288,2,14k,"When comparing floats to integers, some pairs of values take much longer to be evaluated than other values of a similar magnitude. For example: >>> import timeit >>> timeit.timeit(""...",python performance floating-point cpython python-internals,Alex Riley,148k,"asked May 7, 2015 at 12:11"
287,6,227k,I have a list of variable length and am trying to find a way to test if the list item currently being evaluated is the longest string contained in the list. And I am using Python 2.6.1 For example: ...,python list list-comprehension,user104997,"2,905","asked May 16, 2009 at 21:15"
287,7,570k,I want to loop through a Python list and process 2 list items at a time. Something like this in another language: for(int i = 0; i < list.length(); i+=2) { // do something with list[i] and list[...,python list loops for-loop iteration,froadie,74.9k,"asked Jun 7, 2010 at 14:00"
287,4,260k,"In C#, I can say x ?? """", which will give me x if x is not null, and the empty string if x is null. I've found it useful for working with databases. Is there a way to return a default value if ...",python,nfw,"3,294","asked Dec 4, 2012 at 19:42"
287,6,572k,"I have a a dictionary mapping keywords to the repetition of the keyword, but I only want a list of distinct words so I wanted to count the number of keywords. Is there a way to count the number of ...",python dictionary count keyword,Dan,"7,803","asked Feb 6, 2010 at 7:37"
287,10,145k,"I am new to django-1.6. When I run the django server with DEBUG = True, it's running perfectly. But when I change DEBUG to False in the settings file, then the server stopped and it gives the ...",python django,codeimplementer,"3,173","asked Nov 9, 2013 at 12:11"
287,7,257k,"When selecting a sub dataframe from a parent dataframe, I noticed that some programmers make a copy of the data frame using the .copy() method. For example, X = my_dataframe[features_list].copy() ......",python pandas chained-assignment,Elizabeth Susan Joseph,"5,405","asked Dec 28, 2014 at 2:22"
286,12,237k,"I'm making a website where users can log on and download files, using the Flask micro-framework (based on Werkzeug) which uses Python (2.6 in my case). I need to get the IP address of users when they ...",python flask ip-address werkzeug,Jon Cox,10.2k,"asked Sep 21, 2010 at 11:49"
286,8,435k,"In Python, I only want to list all the files in the current directory ONLY. I do not want files listed from any sub directory or parent. There do seem to be similar solutions out there, but they don'...",python,slam_duncan,"3,148","asked Aug 15, 2012 at 12:07"
286,8,555k,Do you know how to get the index or column of a DataFrame as a NumPy array or python list?,python pandas,ericmjl,11.8k,"asked Jun 21, 2013 at 17:25"
286,13,359k,"How can I find the row for which the value of a specific column is maximal? df.max() will give me the maximal value for each column, I don't know how to get the corresponding row.",python pandas dataframe row argmax,lazy1,12.3k,"asked Apr 18, 2012 at 3:59"
286,9,196k,I tried searching internet but could not find the meaning of hashable. When they say objects are hashable or hashable objects what does it mean?,python,user1755071,"3,029","asked Jan 26, 2013 at 9:48"
286,6,268k,"Like in: u'Hello' My guess is that it indicates ""Unicode"", is that correct? If so, since when has it been available?",python syntax,OscarRyz,189k,"asked Mar 17, 2010 at 18:43"
285,23,294k,"I'm trying to use scikit-learn's LabelEncoder to encode a pandas DataFrame of string labels. As the dataframe has many (50+) columns, I want to avoid creating a LabelEncoder object for each column; I'...",python pandas scikit-learn,Bryan,"5,409","asked Jun 27, 2014 at 18:29"
285,16,351k,I have a C++/Obj-C background and I am just discovering Python (been writing it for about an hour). I am writing a script to recursively read the contents of text files in a folder structure. The ...,python scripting file-io,Brock Woolf,45.2k,"asked Feb 6, 2010 at 9:24"
285,16,333k,"When I try to install anything with pip or pip3, I get: $ sudo pip3 install python3-tk Traceback (most recent call last): File ""/usr/bin/pip3"", line 9, in <module> load_entry_point('pip==...",python pip,Martin Thoma,104k,"asked Dec 7, 2014 at 8:44"
285,10,247k,"I have an Express Node.js application, but I also have a machine learning algorithm to use in Python. Is there a way I can call Python functions from my Node.js application to make use of the power of ...",python node.js express,Genjuro,"6,885","asked May 3, 2014 at 22:35"
285,16,137k,I am trying to run a Django management command from cron. I am using virtualenv to keep my project sandboxed. I have seen examples here and elsewhere that show running management commands from within ...,python django cron virtualenv,John-Scott,"2,883","asked Jul 20, 2010 at 4:33"
285,3,364k,"I want to send a value for ""User-agent"" while requesting a webpage using Python Requests. I am not sure is if it is okay to send this as a part of the header, as in the code below: debug = {'verbose'...",python web-crawler python-requests,user1289853,"asked May 15, 2012 at 17:48","asked May 15, 2012 at 17:48"
285,10,132k,Can I run the python interpreter without generating the compiled .pyc files?,python,Avner,"5,672","asked Sep 30, 2008 at 18:55"
284,9,334k,How do you execute raw SQL in SQLAlchemy? I have a python web app that runs on flask and interfaces to the database through SQLAlchemy. I need a way to run the raw SQL. The query involves multiple ...,python sql sqlalchemy flask flask-sqlalchemy,starwing123,"2,953","asked Jul 31, 2013 at 13:39"
284,5,308k,"Possible Duplicate: What is a clean, pythonic way to have multiple constructors in Python? Is it not possible to define multiple constructors in Python, with different signatures? If not, what's ...",python constructor,Chris,20.8k,"asked Jan 29, 2010 at 18:38"
284,11,226k,"I'm having a problem with deleting empty directories. Here is my code: for dirpath, dirnames, filenames in os.walk(dir_to_search): //other codes try: os.rmdir(dirpath) except ...",python directory,sriram,"7,770","asked Oct 29, 2012 at 8:20"
284,7,166k,"What is the pythonic way of writing the following code? extensions = ['.mp3','.avi'] file_name = 'test.mp3' for extension in extensions: if file_name.endswith(extension): #do stuff I ...",python string list,TheMeaningfulEngineer,14.2k,"asked Aug 21, 2013 at 8:02"
284,9,209k,"I am confused about the method view() in the following code snippet. class Net(nn.Module): def __init__(self): super(Net, self).__init__() self.conv1 = nn.Conv2d(3, 6, 5) ...",python memory pytorch torch tensor,Wasi Ahmad,30.4k,"asked Feb 27, 2017 at 7:21"
283,10,62k,"What is the best way to represent and solve a maze given an image? Given an JPEG image (as seen above), what's the best way to read it in, parse it into some data structure and solve the maze? My ...",python algorithm matlab image-processing maze,Whymarrh,12.4k,"asked Oct 21, 2012 at 6:03"
283,9,521k,I'm trying to display a grayscale image using matplotlib.pyplot.imshow(). My problem is that the grayscale image is displayed as a colormap. I need the grayscale because I want to draw on top of the ...,python matplotlib grayscale,Ryan,"4,127","asked Sep 29, 2010 at 16:33"
283,21,303k,"After these instructions in the Python interpreter one gets a window with a plot: from matplotlib.pyplot import * plot([1,2,3]) show() # other code Unfortunately, I don't know how to continue to ...",python matplotlib plot,meteore,"4,347","asked Jan 19, 2009 at 16:30"
282,16,498k,I am trying to construct a General tree. Are there any built-in data structures in Python to implement it?,python data-structures tree,vishnu,"3,437","asked Mar 1, 2010 at 18:24"
282,3,147k,"I have a generator that generates a series, for example: def triangle_nums(): '''Generates a series of triangle numbers''' tn = 0 counter = 1 while True: tn += counter ...",python python-3.x iteration,jottos,19.6k,"asked Jul 2, 2009 at 9:29"
282,34,454k,I'd like to extract the text from an HTML file using Python. I want essentially the same output I would get if I copied the text from a browser and pasted it into notepad. I'd like something more ...,python html text html-content-extraction,John D. Cook,28.8k,"asked Nov 30, 2008 at 2:28"
282,10,137k,I need a working approach of getting all classes that are inherited from a base class in Python.,python subclass,Roman Prykhodchenko,11.5k,"asked Oct 5, 2010 at 9:17"
282,20,958k,"https://github.com/affinelayer/pix2pix-tensorflow/tree/master/tools An error occurred when compiling ""process.py"" on the above site. python tools/process.py --input_dir data -- operation ...",python python-3.x utf-8,pie,"3,081","asked Feb 20, 2017 at 8:43"
282,32,217k,"I have done a little Django development, but it has all been in a text editor. I was curious what more advanced development tools others are using in their Django development. I am used to using ...",python django ide,"4 revs, 2 users 75%",Peter Mortensen,Peter Mortensen
282,25,317k,"From the Udacity's deep learning class, the softmax of y_i is simply the exponential divided by the sum of exponential of the whole Y vector: Where S(y_i) is the softmax function of y_i and e is the ...",python numpy machine-learning logistic-regression softmax,alvas,103k,"asked Jan 23, 2016 at 20:52"
282,8,198k,"I have a generator function like the following: def myfunct(): ... yield result The usual way to call this function would be: for r in myfunct(): dostuff(r) My question, is there a way to ...",python iterator generator python-2.x,Alexandros,"3,800","asked Jan 19, 2011 at 21:55"
281,4,448k,"Is it possible to append to an empty data frame that doesn't contain any indices or columns? I have tried to do this, but keep getting an empty dataframe at the end. e.g. import pandas as pd df = pd....",python pandas,ericmjl,11.8k,"asked May 16, 2013 at 20:52"
281,17,275k,"I recently upgrade Django from v1.3.1 to v1.4. In my old settings.py I have TEMPLATE_DIRS = ( os.path.join(os.path.dirname( __file__ ), 'templates').replace('\\', '/'), # Put strings here, ...",python django,hobbes3,24.5k,"asked Mar 24, 2012 at 23:41"
281,9,360k,"While using the requests module, is there any way to print the raw HTTP request? I don't want just the headers, I want the request line, headers, and content printout. Is it possible to see what ...",python http python-requests,huggie,16.2k,"asked Dec 18, 2013 at 12:43"
281,5,165k,"What exactly do *args and **kwargs mean? According to the Python documentation, from what it seems, it passes in a tuple of arguments. def foo(hello, *args): print hello for each in args: ...",python,UberJumper,18.5k,"asked Nov 13, 2008 at 14:33"
280,28,934k,"I use this command in the shell to install PIL: easy_install PIL then I run python and type this: import PIL. But I get this error: Traceback (most recent call last): File ""<console>"", line ...",python python-imaging-library easy-install,Asma Gheisari,"4,874","asked Jan 14, 2012 at 17:24"
280,10,394k,"Python provides different packages (datetime, time, calendar) as can be seen here in order to deal with time. I made a big mistake by using the following to get current GMT time time.mktime(datetime....",python time unix-timestamp,Cory,13.4k,"asked May 26, 2013 at 1:24"
280,8,106k,"I'm struggling to understand exactly how einsum works. I've looked at the documentation and a few examples, but it's not seeming to stick. Here's an example we went over in class: C = np.einsum(""...",python arrays numpy multidimensional-array numpy-einsum,Lance Strait,"3,271","asked Sep 28, 2014 at 21:33"
280,5,280k,"I am trying to save plots I make using matplotlib; however, the images are saving blank. Here is my code: plt.subplot(121) plt.imshow(dataStack, cmap=mpl.cm.bone) plt.subplot(122) y = copy.deepcopy(...",python image matplotlib figure,tylerthemiler,"4,806","asked Jan 26, 2012 at 0:30"
280,6,358k,"I'm trying to collect some of my default settings, and one thing I realized I don't have a standard for is .gitignore files. There's a great thread showing a good .gitignore for Visual Studio projects,...",python django git pygtk gitignore,ewall,25.4k,"asked Sep 15, 2010 at 15:32"
280,11,160k,"If I add a subtitle to my matplotlib figure it gets overlaid by the subplot's titles. Does anybody know how to easily take care of that? I tried the tight_layout() function, but it only makes things ...",python matplotlib,katrasnikj,"2,881","asked Nov 23, 2011 at 20:12"
280,4,88k,"While searching through a Python project, I found a few lines commented with # noqa. import sys sys.path.append(r'C:\dev') import some_module # noqa What does noqa mean in Python? Is it specific ...",python comments terminology code-analysis pep8,Ishpreet,"4,162","asked Jul 27, 2017 at 9:25"
280,5,729k,"How can I set the y axis range of the second subplot to e.g. [0,1000] ? The FFT plot of my data (a column in a text file) results in a (inf.?) spike so that the actual data is not visible. pylab.ylim(...",python range axis matplotlib,someone,"5,809","asked May 17, 2010 at 13:12"
280,6,132k,"I have been programming in python for about two years; mostly data stuff (pandas, mpl, numpy), but also automation scripts and small web apps. I'm trying to become a better programmer and increase my ...",python oop,metersk,10k,"asked Oct 12, 2015 at 2:53"
279,17,440k,"I need to select an element from a drop-down menu. For example: <select id=""fruits01"" class=""select"" name=""fruits""> <option value=""0"">Choose your fruits:</option> <option ...",python selenium selenium-webdriver webdriver html-select,Adam Bovien,"2,815","asked Oct 23, 2011 at 16:40"
279,18,198k,"I've been running a script on jupyter notebooks for about 26 hour; I haven't really been using my computer for anything else, but it needs to run this program that will take ~30 hours to complete. At ...",python google-chrome anaconda jupyter-notebook,V P,"2,844","asked Mar 6, 2019 at 1:23"
279,7,309k,I have a Model as follows: class TankJournal(models.Model): user = models.ForeignKey(User) tank = models.ForeignKey(TankProfile) ts = models.IntegerField(max_length=15) title = models....,python django django-models django-forms,Mike,"7,015","asked Mar 2, 2009 at 22:18"
279,13,611k,I got a message saying script xyz.py returned exit code 0. What does this mean? What do the exit codes in Python mean? How many are there? Which ones are important?,python exit-code,sundeep,"3,588","asked Nov 12, 2008 at 20:43"
279,4,640k,"I am trying to join two pandas data frames using two columns: new_df = pd.merge(A_df, B_df, how='left', left_on='[A_c1,c2]', right_on = '[B_c1,c2]') but got the following error: pandas/index.pyx ...",python python-3.x pandas join,Edamame,19.9k,"asked Jan 23, 2017 at 20:32"
279,2,20k,">>> timeit.timeit(""'x' in ('x',)"") 0.04869917374131205 >>> timeit.timeit(""'x' == 'x'"") 0.06144205736110564 Also works for tuples with multiple elements, both versions seem to grow ...",python performance python-3.x python-internals,Markus Meskanen,17.1k,"asked Mar 5, 2015 at 18:29"
279,9,152k,Why in this millennium should Python PEP-8 specify a maximum line length of 79 characters? Pretty much every code editor under the sun can handle longer lines. What to do with wrapping should be the ...,python coding-style pep8,pcorcoran,"7,426","asked Sep 18, 2008 at 0:36"
279,2,565k,"This piece of code is giving me an error unhashable type: dict can anyone explain to me what the solution is? negids = movie_reviews.fileids('neg') def word_feats(words): return dict([(word, True) ...",python,user1805250,"2,839","asked Nov 7, 2012 at 6:47"
279,23,102k,"Is there a javascript equivalent of Python's zip function? That is, given multiple arrays of equal lengths create an array of pairs. For instance, if I have three arrays that look like this: var ...",javascript python functional-programming transpose,pq.,"3,145","asked Jan 31, 2011 at 22:08"
279,9,443k,"My python script uses subprocess to call a linux utility that is very noisy. I want to store all of the output to a log file and show some of it to the user. I thought the following would work, but ...",python subprocess,deft_code,53.9k,"asked May 10, 2010 at 16:47"
278,5,175k,I have the following DataFrame: customer item1 item2 item3 1 apple milk tomato 2 water orange potato 3 juice mango chips which I want ...,python list dictionary pandas dataframe,Mohamad Ibrahim,"3,935","asked Apr 23, 2015 at 6:12"
278,32,531k,"I'm trying to extract the text included in this PDF file using Python. I'm using the PyPDF2 module, and have the following script: import PyPDF2 pdf_file = open('sample.pdf') read_pdf = PyPDF2....",python pdf,Simplicity,43.9k,"asked Jan 17, 2016 at 11:16"
278,9,659k,"Right now I am using a list, and was expecting something like: verts = list (1000) Should I use array instead?",python arrays list,Joan Venge,287k,"asked Feb 6, 2009 at 18:58"
278,27,1.2m,"I have a very similar question to this question, but still one step behind. I have only one version of Python 3 installed on my Windows 7 (sorry) 64-bit system. I installed numpy following this link -...",python python-3.x numpy import scipy,Seb,"3,197","asked Oct 19, 2011 at 8:54"
278,8,187k,"mydict = {""key1"":""value1"", ""key2"":""value2""} The regular way to lookup a dictionary value in a Django template is {{ mydict.key1 }}, {{ mydict.key2 }}. What if the key is a loop variable? ie: {% for ...",python django templates dictionary,Stan,34.6k,"asked Nov 3, 2011 at 18:26"
277,43,796k,"I'm trying to install OpenCV for Python through Anaconda, but I can't seem to figure this out. I tried conda install opencv conda install cv2 I also tried searching conda search cv No cigar. I ...",python opencv anaconda conda,Chet,16.2k,"asked Apr 16, 2014 at 20:23"
277,5,613k,"If I've got an array of strings, can I check to see if a string is in the array without doing a for loop? Specifically, I'm looking for a way to do it within an if statement, so something like this: ...",python arrays contains,SomeKittens,37.4k,"asked Jun 28, 2012 at 19:39"
277,4,82k,"From the Google Open Source Blog: PyPy is a reimplementation of Python in Python, using advanced techniques to try to attain better performance than CPython. Many years of hard work have ...",python pypy language-implementation,"3 revs, 3 users 100%",Agnel Kurian,Agnel Kurian
277,6,142k,"I want to import foo-bar.py. This works: foobar = __import__(""foo-bar"") This does not: from ""foo-bar"" import * My question: Is there any way that I can use the above format i.e., from ""foo-bar"" ...",python import module hyphen,Bala,"3,258","asked Dec 2, 2011 at 1:56"
277,10,219k,"Why would you compile a Python script? You can run them directly from the .py file and it works fine, so is there a performance advantage or something? I also notice that some files in my ...",python compilation,ryeguy,62.7k,"asked Jan 22, 2009 at 22:57"
276,14,361k,"In python, what's the best way to test if a variable contains a list or a tuple? (ie. a collection) Is isinstance() as evil as suggested here? http://www.canonical.org/~kragen/isinstance/ Update: ...",python types list,interstar,24k,"asked Feb 2, 2010 at 15:00"
276,9,109k,Is there any performance difference between tuples and lists when it comes to instantiation and retrieval of elements?,python performance list tuples python-internals,readonly,321k,"asked Sep 16, 2008 at 1:43"
276,12,329k,"I have a list of lists. For example, [ [0,1,'f'], [4,2,'t'], [9,4,'afsd'] ] If I wanted to sort the outer list by the string field of the inner lists, how would you do that in python?",python sorting,oldspice,"2,933","asked Nov 13, 2010 at 21:54"
276,14,769k,I'm trying to use matplotlib to read in an RGB image and convert it to grayscale. In matlab I use this: img = rgb2gray(imread('image.png')); In the matplotlib tutorial they don't cover it. They ...,python matplotlib,waspinator,"5,644","asked Aug 30, 2012 at 16:37"
276,7,186k,"I am not able to get my head on how the partial works in functools. I have the following code from here: >>> sum = lambda x, y : x + y >>> sum(1, 2) 3 >>> incr = lambda y : ...",python functional-programming partial-application functools,user1865341,"3,509","asked Mar 11, 2013 at 5:23"
276,4,267k,I have a time difference import time import datetime time1 = datetime.datetime.fromtimestamp(time.mktime(time.gmtime())) ... time2 = datetime.datetime.fromtimestamp(time.mktime(time.gmtime())) diff = ...,python datetime,ripper234,210k,"asked Apr 2, 2011 at 8:11"
275,13,648k,Is there a built-in or standard library method in Python to calculate the arithmetic mean (one type of average) of a list of numbers?,python list mean,jrdioko,29.9k,"asked Oct 10, 2011 at 17:19"
275,9,367k,"I'm used to bringing data in and out of Python using CSV files, but there are obvious challenges to this. Are there simple ways to store a dictionary (or sets of dictionaries) in a JSON or pickle file?...",python json dictionary save pickle,mike,20.9k,"asked Aug 17, 2011 at 22:06"
275,5,396k,"I may be having a brain fart here, but I really can't figure out what's wrong with my code: for key in tmpDict: print type(tmpDict[key]) time.sleep(1) if(type(tmpDict[key])==list): ...",python,Benjamin Lindqvist,"3,742","asked Oct 24, 2014 at 8:23"
275,8,863k,"I'm trying to use pip to install a package. I try to run pip install from the Python shell, but I get a SyntaxError. Why do I get this error? How do I use pip to install the package? >>> ...",python pip installation,Nacht,"9,248","asked Dec 17, 2011 at 21:23"
275,11,273k,"How can I test if a string contains only whitespace? Example strings: "" "" (space, space, space) "" \t \n "" (space, tab, space, newline, space) ""\n\n\n\t\n"" (newline, ...",python text whitespace,bodacydo,68.3k,"asked Mar 8, 2010 at 22:29"
275,9,104k,"In nodejs, I can do npm install package --save-dev to save the installed package into the package. How do I achieve the same thing in Python package manager pip? I would like to save the package name ...",python node.js pip,hllau,"8,619","asked Oct 2, 2013 at 11:28"
275,2,102k,"I'm a bit miffed by the python package installation process. Specifically, what's the difference between packages installed in the dist-packages directory and the site-packages directory?",python pip easy-install package-managers,maxm,"4,715","asked Feb 22, 2012 at 1:29"
274,3,192k,"I am trying to raise a Warning in Python without making the program crash / stop / interrupt. I use the following simple function to check if the user passed a non-zero number to it. If so, the ...",python exception error-handling warnings,Tomas Novotny,"6,367","asked Oct 8, 2010 at 15:01"
274,14,75k,I get the following error when attempting to install psycopg2 via pip on Mavericks 10.9: clang: error: unknown argument: '-mno-fused-madd' [-Wunused-command-line-argument-hard-error-in-future] Not ...,python clang pip osx-mavericks,tino,"4,630","asked Mar 10, 2014 at 23:19"
274,18,174k,"OK, I'm aware that triple-quotes strings can serve as multiline comments. For example, """"""Hello, I am a multiline comment"""""" and '''Hello, I am a multiline comment''' But technically ...",python comments multiline,CoolGravatar,"5,268","asked Dec 29, 2008 at 4:53"
274,3,294k,"Is it guaranteed that False == 0 and True == 1, in Python (assuming that they are not reassigned by the user)? For instance, is it in any way guaranteed that the following code will always produce ...",python boolean equality language-specifications,Eric O Lebigot,85.1k,"asked May 4, 2010 at 9:03"
273,23,188k,I have a directory apkmirror-scraper-compose with the following structure: . ├── docker-compose.yml ├── privoxy │   ├── config │   └── Dockerfile ├── scraper │   ├── Dockerfile │   ├── newnym.py │   └...,python docker docker-compose,Kurt Peek,42k,"asked May 1, 2017 at 13:59"
273,14,373k,"I would like to get the time spent on the cell execution in addition to the original output from cell. To this end, I tried %%timeit -r1 -n1 but it doesn't expose the variable defined within cell. %%...",python jupyter-notebook ipython jupyter,colinfang,19.1k,"asked Sep 14, 2015 at 13:15"
273,20,146k,"I want to do something like: foo = { 'foo': 1, 'zip': 2, 'zam': 3, 'bar': 4 } if (""foo"", ""bar"") in foo: #do stuff How do I check whether both foo and bar are ...",python dictionary,user131465,"asked Aug 17, 2009 at 2:12","asked Aug 17, 2009 at 2:12"
273,20,1.1m,"I would like to print a specific Python dictionary key: mydic = {} mydic['key_name'] = 'value_name' Now I can check if mydic.has_key('key_name'), but what I would like to do is print the name of the ...",python dictionary key,neydroydrec,"6,341","asked May 5, 2011 at 22:51"
273,8,108k,"I have seen and used nested functions in Python, and they match the definition of a closure. So why are they called nested functions instead of closures? Are nested functions not closures because ...",python closures nested-function,Srikar Appalaraju,68.5k,"asked Oct 26, 2010 at 3:11"
273,8,150k,"In the Python documentation it says: A thread can be flagged as a ""daemon thread"". The significance of this flag is that the entire Python program exits when only daemon threads are left. The ...",python multithreading daemon python-multithreading,Corey Goldberg,55.6k,"asked Oct 10, 2008 at 3:24"
273,5,217k,"I found the platform module but it says it returns 'Windows' and it's returning 'Microsoft' on my machine. I notice in another thread here on stackoverflow it returns 'Vista' sometimes. So, the ...",python platform platform-specific,gman,90.2k,"asked Aug 25, 2009 at 1:15"
273,2,213k,"Possible Duplicate: A Transpose/Unzip Function in Python I have a list of tuples, where I want to unzip this list into two independent lists. I'm looking for some standardized operation in Python....",python list tuples list-comprehension,VaidAbhishek,"5,435","asked Oct 19, 2012 at 12:38"
